null_x,null_y,null_theta
-2.32199,-2.15766,5.85076
-2.32336,-2.15568,5.85048
-2.32975,-2.14808,5.84896
-2.33341,-2.14349,5.84818
-2.33521,-2.14123,5.84804
-2.3387,-2.13681,5.84711
-2.33939,-2.1357,5.84723
-2.34151,-2.13268,5.8471
-2.34319,-2.13048,5.84678
-2.34631,-2.12639,5.8464
-2.34799,-2.12417,5.84592
-2.35119,-2.11994,5.84529
-2.35324,-2.11727,5.84476
-2.35696,-2.11238,5.84384
-2.35878,-2.10995,5.84346
-2.36209,-2.10551,5.84277
-2.36265,-2.10446,5.84293
-2.36469,-2.10134,5.84279
-2.3428,-2.11009,5.84829
-2.3709,-2.09267,5.84157
-2.37388,-2.08847,5.84099
-2.37927,-2.08098,5.83963
-2.38092,-2.07864,5.83925
-2.38408,-2.07413,5.83855
-2.38654,-2.06981,5.83858
-2.388,-2.06764,5.83826
-2.39089,-2.06333,5.83762
-2.36865,-2.07233,5.84321
-2.39675,-2.05457,5.83637
-2.39978,-2.05001,5.83567
-2.4018,-2.04709,5.83505
-2.40505,-2.04167,5.83457
-2.40834,-2.03611,5.8341
-2.41111,-2.03172,5.83346
-2.41253,-2.02946,5.83295
-2.41532,-2.02503,5.83245
-2.41672,-2.02279,5.83216
-2.41943,-2.01842,5.83154
-2.42053,-2.01623,5.83127
-2.42406,-2.01104,5.82998
-2.42393,-2.01029,5.83035
-2.42615,-2.00663,5.83014
-2.4298,-2.00006,5.82928
-2.43151,-1.9976,5.82877
-2.43417,-1.9931,5.82795
-2.43802,-1.98649,5.82713
-2.43935,-1.98419,5.82681
-2.44209,-1.97949,5.82583
-2.44377,-1.97529,5.82597
-2.44512,-1.97289,5.82564
-2.43541,-1.97444,5.82806
-2.45136,-1.96166,5.82363
-2.45267,-1.95929,5.82345
-2.45508,-1.95485,5.82289
-2.43304,-1.96404,5.82835
-2.45826,-1.94788,5.82207
-2.46007,-1.94407,5.82183
-2.46371,-1.93715,5.82089
-2.46457,-1.93499,5.82063
-2.46728,-1.93028,5.81949
-2.47077,-1.92348,5.81868
-2.47191,-1.92121,5.81839
-2.47359,-1.91658,5.81794
-2.47644,-1.91036,5.81733
-2.47867,-1.90583,5.8167
-2.47982,-1.90346,5.81636
-2.48317,-1.89656,5.8149
-2.48537,-1.89197,5.8144
-2.48641,-1.88975,5.81411
-2.48819,-1.88568,5.81367
-2.48899,-1.88188,5.81345
-2.49229,-1.8748,5.81254
-2.49338,-1.87242,5.81222
-2.49548,-1.86781,5.81115
-2.49618,-1.86564,5.81084
-2.49859,-1.86085,5.81003
-2.49959,-1.85861,5.80986
-2.50121,-1.85452,5.80945
