ceres_huber_x,ceres_huber_y,ceres_huber_theta
-2.61215,-1.68822,5.81642
-2.61281,-1.68479,5.81715
-2.614,-1.67714,5.81732
-2.6146,-1.67365,5.81801
-2.61567,-1.66604,5.81824
-2.61668,-1.65851,5.81851
-2.61703,-1.65471,5.81876
-2.61737,-1.65092,5.81902
-2.61789,-1.64272,5.81827
-2.61801,-1.63867,5.81801
-2.61812,-1.63463,5.81777
-2.61823,-1.63061,5.81754
-2.61834,-1.62661,5.81732
-2.6187,-1.61851,5.8166
-2.61878,-1.61454,5.8164
-2.61886,-1.6106,5.81621
-2.61914,-1.60257,5.81553
-2.61935,-1.59457,5.81486
-2.61938,-1.59067,5.81471
