ceres_null_x,ceres_null_y,ceres_null_theta
-2.29062,-2.29217,5.82947
-2.29302,-2.29131,5.83035
-2.29529,-2.29055,5.83127
-2.29763,-2.28973,5.83222
-2.29998,-2.28891,5.83319
-2.30234,-2.28808,5.8342
-2.3047,-2.28724,5.83523
-2.30706,-2.2864,5.8363
-2.30943,-2.28555,5.83741
-2.3152,-2.28177,5.83807
-2.31759,-2.2809,5.83928
-2.31998,-2.28002,5.84052
-2.32238,-2.27913,5.84179
-2.32457,-2.27768,5.84216
-2.33008,-2.27316,5.84207
-2.33229,-2.27173,5.84251
-2.33456,-2.2704,5.84324
-2.34011,-2.26593,5.84353
-2.34246,-2.26454,5.84434
-2.3447,-2.26327,5.84521
-2.35023,-2.25871,5.84563
-2.35254,-2.25737,5.84658
-2.35803,-2.25273,5.8471
-2.36035,-2.25138,5.84816
-2.36268,-2.25002,5.84925
-2.36501,-2.24865,5.85038
-2.37051,-2.24377,5.85108
-2.37593,-2.23891,5.85186
-2.37822,-2.23758,5.85319
-2.38058,-2.23617,5.85455
-2.38594,-2.23116,5.85549
-2.39128,-2.22609,5.85651
-2.39365,-2.22463,5.85807
-2.39602,-2.22315,5.85968
-2.40135,-2.21782,5.86087
-2.40368,-2.21638,5.86262
-2.40606,-2.21484,5.86442
-2.40844,-2.21328,5.86626
-2.41368,-2.20768,5.86769
-2.41601,-2.20615,5.86969
-2.41841,-2.20453,5.87173
-2.42081,-2.20288,5.87383
-2.42589,-2.19706,5.87552
-2.42829,-2.19535,5.87777
-2.43074,-2.19352,5.88007
-2.43567,-2.18752,5.88199
-2.43806,-2.1857,5.88447
-2.44045,-2.18384,5.887
-2.44287,-2.182,5.88973
-2.44534,-2.18003,5.89251
-2.45013,-2.17358,5.89492
-2.45254,-2.17161,5.89789
-2.45497,-2.1696,5.90093
-2.45969,-2.16273,5.90359
-2.46436,-2.15573,5.90637
-2.46646,-2.15294,5.90859
-2.46862,-2.15001,5.91086
-2.47036,-2.14659,5.91201
-2.47216,-2.14306,5.9132
-2.47602,-2.13439,5.91396
-2.47798,-2.13116,5.91615
-2.47994,-2.12791,5.9184
-2.48189,-2.12462,5.9207
-2.48383,-2.12131,5.92306
-2.48767,-2.11259,5.92501
